id,timestamp,record_ids,stage,rule_fired,confidence,decision,match_type,llm_reasoning,final_status,previous_hash,record_hash
1561,2026-09-04T03:15:25.837057+00:00,sett_0000-TXN_809570-ORD_SYNTH_0000,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,0000000000000000000000000000000000000000000000000000000000000000,3dfda2dedbc3e8048583248ce961058a38be97181e5dadde628bf550047ce9b3
1562,2026-09-04T03:15:25.851605+00:00,sett_0001-TXN_127824-ORD_SYNTH_0001,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,3dfda2dedbc3e8048583248ce961058a38be97181e5dadde628bf550047ce9b3,e8391c4f8e79bda485d6a17c4ccf1a179776ba0898a332085f2591eb823d45c9
1563,2026-09-04T03:15:25.865790+00:00,sett_0004-TXN_496922-ORD_SYNTH_0004,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,e8391c4f8e79bda485d6a17c4ccf1a179776ba0898a332085f2591eb823d45c9,bb55c9f043f5b8875387bfe7556262d61bc5f2308b5d1061019abbfbe43ab9ef
1564,2026-09-04T03:15:25.879736+00:00,sett_0007-TXN_660086-ORD_SYNTH_0007,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,bb55c9f043f5b8875387bfe7556262d61bc5f2308b5d1061019abbfbe43ab9ef,dfbbf89679ef2335a077878576ad34a0df0588d0c70a9da1822d467335c97d9a
1565,2026-09-04T03:15:25.897198+00:00,sett_0008-TXN_817870-ORD_SYNTH_0008,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,dfbbf89679ef2335a077878576ad34a0df0588d0c70a9da1822d467335c97d9a,1a0f8947f5a8535f699821eaff5ba1de4c7607ef47ceef052b4394f755d26a22
1566,2026-09-04T03:15:25.912551+00:00,sett_0009-TXN_169403-ORD_SYNTH_0009,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,1a0f8947f5a8535f699821eaff5ba1de4c7607ef47ceef052b4394f755d26a22,eea382a5758f3fcc12e47ff3a8a042e16b6a3e737c91073fc1865aeb162ff8bd
1567,2026-09-04T03:15:25.926111+00:00,sett_0010-TXN_774079-ORD_SYNTH_0010,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,eea382a5758f3fcc12e47ff3a8a042e16b6a3e737c91073fc1865aeb162ff8bd,a29dd78f5e920b9968a8606ba931fa84384298ea5a36d6b09d832bb913642c0a
1568,2026-09-04T03:15:25.939531+00:00,sett_0011-TXN_549245-ORD_SYNTH_0011,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,a29dd78f5e920b9968a8606ba931fa84384298ea5a36d6b09d832bb913642c0a,6cbe19b615bd8ecc9e061d6b71231fa74608d4a7f3b58409b436ad8f5807a61d
1569,2026-09-04T03:15:25.952580+00:00,sett_0012-TXN_214975-ORD_SYNTH_0012,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,6cbe19b615bd8ecc9e061d6b71231fa74608d4a7f3b58409b436ad8f5807a61d,a87822cbdcd87a0f1616e2d03c8fa05816f2f603ef5c952175c589aaa705356f
1570,2026-09-04T03:15:25.966243+00:00,sett_0013-TXN_654816-ORD_SYNTH_0013,stage1_exact,utr_exact_match+order_exact_match,1.0,matched,exact_3way,,matched,a87822cbdcd87a0f1616e2d03c8fa05816f2f603ef5c952175c589aaa705356f,0c5e169d8f9f881277872f09783de360784c76b847a0f9545360d25564badb4f
